  ID       RAJ2000       DEJ2000     U         SU        B         SB        V        SV         R        SR         I         SI         J        H         KS        SJ         SH       SKS    MAGUCAC        MURA        MUDE        SMURA       SMUDE   SRA1       SDE1         P      |  id     raj2000     dej2000     Gmag     e_Gmag     BPmag     e_BPmag     RPmag     e_RPmag     pmRA     e_pmRA     pmDE     e_pmDE     Plx     e_Plx     Rv     e_Rv     P
     1    261.273132     -49.945904   10.8953    0.0408   11.1633    0.0297   10.8743    0.0238   10.4765    0.0247   10.2494    0.0247     9.903     9.772     9.700     0.020     0.020     0.020    10.633       -0.30       -3.40        1.60        1.00   0.02426   0.02426   0.00  |  5949553835654196224 261.273133 -49.945927 10.4870 0.0006 10.6466 0.0012 10.2310 0.0017 -2.2600 0.0850 -4.7620 0.0810 1.1896 0.0463 nan nan 0.8950
     2    261.267761     -49.973545   12.0412    0.0409   11.3384    0.0297   10.7790    0.0238       NaN       NaN       NaN       NaN     8.393     7.881     7.797     0.020     0.020     0.030    10.083       -2.50       -5.70        1.70        1.40   0.01865   0.01864   0.00  |  5949553698215949312 261.267758 -49.973554 9.9110 0.0002 10.4567 0.0010 9.2477 0.0011 -2.5700 0.0910 -4.6900 0.0850 1.0734 0.0452 -31.1000 0.2500 0.9566
     3    261.173065     -49.985172   12.4109    0.0409   11.4668    0.0297   10.8195    0.0238   10.2492    0.0247    9.5508    0.0247     8.432     7.896     7.797     0.020     0.030     0.030    10.177       -1.40       -3.30        1.10        1.30   0.02325   0.02325   1.00  |  5949565170038446080 261.173047 -49.985153 10.0300 0.0003 10.6113 0.0011 9.3409 0.0010 -2.4620 0.0860 -4.9930 0.0790 1.0865 0.0436 -31.4000 0.2800 0.9997
     4    261.225525     -49.885422   13.0655    0.0409   11.6865    0.0297   10.7692    0.0238   10.1917    0.0247    9.4562    0.0247       NaN       NaN       NaN       NaN       NaN       NaN       NaN         NaN         NaN         NaN         NaN   0.03880   0.03880   0.00  |  5949577646955571200 261.225606 -49.885444 9.9556 0.0003 10.6610 0.0011 9.1759 0.0011 -2.7950 0.1580 -4.7850 0.1750 1.1706 0.0765 -31.6600 0.9400 0.9972
     5    261.139099     -49.915600   13.1512    0.0410   11.7233    0.0297   10.8044    0.0238       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN         NaN         NaN         NaN         NaN   0.03782   0.03782   0.83  |  5949565621044529152 261.139154 -49.915603 10.0098 0.0003 10.7052 0.0013 9.2351 0.0005 -2.5800 0.0800 -4.9420 0.0800 1.0627 0.0462 -30.1700 1.2800 0.9986
     6    261.240662     -50.025837       NaN       NaN   11.7757    0.0297   10.9160    0.0238       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN         NaN         NaN         NaN         NaN   0.01289   0.01289   0.00  |  5949551670990603264 261.240653 -50.025843 10.3708 0.0003 10.9590 0.0011 9.6734 0.0008 -1.9600 0.2040 -5.0740 0.2110 1.0791 0.1159 -31.4300 0.2100 0.9789
     7    261.257263     -50.018642   11.9805    0.0409   11.8607    0.0297   11.5091    0.0238       NaN       NaN       NaN       NaN    10.755    10.638    10.537     0.020     0.030     0.020    11.553        2.30        0.90        1.20        1.50   0.01233   0.01233   0.00  |  5949553148459355136 261.257254 -50.018646 11.4499 0.0007 11.6380 0.0017 11.1353 0.0010 -0.6370 0.0820 -3.5400 0.0830 1.1365 0.0446 nan nan 0.0000
     8    261.206177     -49.957493   13.1059    0.0409   11.9922    0.0297   10.9999    0.0238   10.4251    0.0247    9.8697    0.0247     8.901     8.350     8.209     0.030     0.030     0.020    10.639       -0.40       -2.80        1.30        3.20   0.02461   0.02460   1.00  |  5949553590806610944 261.206190 -49.957505 10.5617 0.0004 11.1622 0.0008 9.8521 0.0006 -2.5580 0.1050 -5.2790 0.1000 1.1361 0.0593 nan nan 0.9884
     9    261.194580     -49.901947   13.1323    0.0410   12.0448    0.0297   10.9958    0.0238   10.4166    0.0247    9.8388    0.0247       NaN       NaN       NaN       NaN       NaN       NaN       NaN         NaN         NaN         NaN         NaN   0.03654   0.03654   1.00  |  5949565895922433024 261.194639 -49.901962 10.5742 0.0002 11.1808 0.0016 9.8605 0.0011 -2.5680 0.0780 -4.7220 0.0780 1.1066 0.0441 -30.2000 0.4600 0.9878
