 ID      RAJ2000   DEJ2000     U      SU    B      SB     V      SV     R     SR      I   SI     id     raj2000G     dej2000G     Gmag     e_Gmag     BPmag     e_BPmag     RPmag     e_RPmag     pmRA     e_pmRA     pmDE     e_pmDE     Plx     e_Plx     Rv     e_Rv     P
 351    129.6154 -34.8098   17.421  0.008 17.137  0.004 16.676  0.005 16.407  0.004 16.105  0.001    5638573086429508608 129.615466 -34.809809 16.5618 0.0008 16.8157 0.0050 16.1461 0.0048 -2.5270 0.0820 2.2380 0.0950 0.2035 0.0566 nan nan 0.9956
 172    129.6667 -34.8158   17.263  0.006 16.752  0.004 15.659  0.006 15.032  0.007 14.407  0.001    5638572880271052800 129.666694 -34.815825 15.2753 0.0003 15.9185 0.0023 14.5072 0.0013 -3.0610 0.0410 2.9070 0.0490 0.0966 0.0297 nan nan 0.0000
  24    129.6204 -34.7666   15.670  0.004 14.853  0.002 13.599  0.003 12.910  0.007 12.248  0.001    5638574048502614016 129.620612 -34.766628 13.1499 0.0002 13.8551 0.0013 12.3394 0.0008 -2.4840 0.0270 2.2470 0.0300 0.1646 0.0196 83.0400 9.2800 0.9985
 775    129.6633 -34.7485   18.935  0.011 18.797  0.010 18.049  0.005 17.574  0.005 17.085  0.001    5638573734969628672 129.663202 -34.748496 17.7921 0.0011 18.2051 0.0142 17.1581 0.0101 -3.8860 0.1570 2.7000 0.1760 0.1028 0.1097 nan nan 0.0000
 756    129.6225 -34.7906   18.843  0.026 18.695  0.005 17.996  0.007 17.575  0.021 17.110  0.001    5638573189508710400 129.621420 -34.790247 14.6113 0.0003 14.7758 0.0021 14.2990 0.0014 -2.4710 0.0340 2.2620 0.0390 0.1640 0.0238 nan nan 0.9982
 214    129.6700 -34.8096   16.614  0.003 16.329  0.005 15.948  0.005 15.717  0.005 15.442  0.001    5638572880271047680 129.669868 -34.809577 15.8556 0.0005 16.0716 0.0020 15.4826 0.0023 -2.5030 0.0550 2.2300 0.0660 0.2217 0.0409 nan nan 0.9960
 741    129.5967 -34.8074   18.735  0.017 18.635  0.015 17.959  0.008 17.528  0.006 17.065  0.001    5638573807984023552 129.596853 -34.807441 17.7315 0.0012 18.1213 0.0132 17.1412 0.0098 -2.6780 0.1430 1.6850 0.2000 0.0298 0.1118 nan nan 0.8571
 196    129.6067 -34.7630   16.767  0.007 16.612  0.002 15.852  0.007 15.402  0.003 14.950  0.001    5638574220300857344 129.604131 -34.761844 15.0626 0.0004 15.2454 0.0022 14.7237 0.0020 -2.4320 0.0400 2.1070 0.0490 0.1507 0.0293 nan nan 0.9975
  30    129.6175 -34.7666   15.480  0.006 14.812  0.002 13.699  0.002 13.057  0.008 12.432  0.001    5638574048502614016 129.617663 -34.766562 13.2916 0.0002 13.9399 0.0013 12.5193 0.0007 -2.5980 0.0260 2.1210 0.0300 0.1820 0.0185 nan nan 0.9972
 563    129.6042 -34.7546   18.722  0.028 18.424  0.010 17.481  0.001 16.907  0.005 16.339  0.001    5638574254660591616 129.604152 -34.754549 17.1441 0.0009 17.6849 0.0085 16.4219 0.0041 -3.3630 0.1050 3.3750 0.1210 0.4918 0.0771 nan nan 0.0000
 730    129.5742 -34.8107   19.391  0.028 18.955  0.024 17.943  0.003 17.359  0.004 16.792  0.001    5638568001188249600 129.574310 -34.810674 17.6143 0.0011 18.1560 0.0163 16.9018 0.0058 -6.0060 0.1380 1.9170 0.1750 0.3442 0.0982 nan nan 0.0000
2028    129.6308 -34.8136   20.934  0.074 20.756  0.028 20.112  0.022 19.689  0.027 19.248  0.001    5638573013407766528 129.630696 -34.814384 17.0929 0.0008 17.5238 0.0082 16.4725 0.0066 -3.0800 0.1050 2.8170 0.1210 0.3311 0.0728 nan nan 0.0000
 738    129.6404 -34.7160   19.965  0.003 19.114  0.005 17.954  0.002 17.268  0.005 16.612  0.001    5638574770056633344 129.640401 -34.716015 17.5253 0.0010 18.2079 0.0118 16.7204 0.0070 -3.5680 0.1270 -3.1580 0.1760 0.7149 0.0952 nan nan 0.0000
 725    129.6275 -34.8334   19.674  0.019 18.988  0.011 17.930  0.005 17.323  0.003 16.780  0.001    5638572777191868416 129.627672 -34.833363 17.6069 0.0012 18.2081 0.0122 16.8801 0.0062 -5.1040 0.1460 2.8660 0.1650 0.3811 0.1000 nan nan 0.0000
2023    129.5267 -34.8203      NaN    NaN 21.364  0.053 20.101  0.025 19.439  0.011 18.806  0.001    5638568065611608064 129.532247 -34.821055 18.8950 0.0028 19.3392 0.0458 18.1808 0.0181 -2.6350 0.3270 1.7450 0.5190 -0.1216 0.2447 nan nan 0.9023
 683    129.6325 -34.7682   18.665  0.016 18.500  0.006 17.820  0.004 17.408  0.004 16.962  0.001    5638573975480725504 129.632344 -34.768219 17.6049 0.0010 17.9499 0.0128 17.0003 0.0086 -2.3130 0.1380 2.0620 0.1600 0.3287 0.0993 nan nan 0.9537
1135    129.6708 -34.8072   19.765  0.005 19.629  0.014 18.765  0.002 18.222  0.017 17.689  0.001    5638572875968864256 129.670740 -34.807160 18.4796 0.0018 18.9374 0.0280 17.7740 0.0147 -2.2730 0.2430 3.3850 0.3520 0.3131 0.1879 nan nan 0.0333
  39    129.5779 -34.7947   15.876  0.006 15.126  0.002 13.877  0.002 13.175  0.002 12.487  0.001    5638573876703504384 129.578023 -34.794739 13.4109 0.0002 14.1345 0.0012 12.5892 0.0009 -2.5670 0.0240 2.3010 0.0300 0.1465 0.0176 nan nan 0.9963
 391    129.6533 -34.7331   17.755  0.004 17.429  0.003 16.871  0.004 16.527  0.005 16.137  0.001    5638574563898204160 129.653405 -34.733126 16.6993 0.0006 17.0233 0.0122 16.1999 0.0044 -3.1340 0.0820 3.4800 0.0950 0.0887 0.0592 nan nan 0.0000
1164    129.6596 -34.8045   19.693  0.012 19.633  0.018 18.825  0.001 18.327  0.019 17.795  0.001    5638572944688352256 129.659715 -34.804531 18.5593 0.0018 19.0189 0.0303 17.9022 0.0151 -2.4240 0.2410 1.7600 0.3660 -0.0888 0.1825 nan nan 0.8900
  42    129.7250 -34.7436   16.572  0.023 15.307  0.005 13.939  0.004 13.182  0.004 12.515  0.001    5638574971913260032 129.721747 -34.745344 18.4822 0.0018 18.9069 0.0228 17.7089 0.0110 -3.5970 0.2310 2.3560 0.3730 0.0058 0.1752 nan nan 0.0004
 674    129.5754 -34.7112   18.760  0.009 18.565  0.017 17.802  0.004 17.311  0.008 16.799  0.001    5638621323200475136 129.575407 -34.711230 17.5396 0.0011 17.9954 0.0140 16.8832 0.0095 -1.7380 0.1350 2.7420 0.1760 0.2389 0.0979 nan nan 0.0001
 222    129.6383 -34.7226   17.000  0.002 16.803  0.008 16.025  0.007 15.559  0.003 15.094  0.001    5638574770056639488 129.638185 -34.722619 15.7785 0.0005 16.2202 0.0032 15.1697 0.0021 3.8430 0.0530 2.2970 0.0610 0.7493 0.0369 nan nan 0.0000
2704    129.5437 -34.7697      NaN    NaN 22.341  0.107 21.026  0.046 20.304  0.038 19.505  0.001    5638615207166743552 129.542342 -34.766590 19.0908 0.0025 19.5061 0.0345 18.3545 0.0262 -3.1170 0.3410 2.2140 0.4240 0.1610 0.2528 nan nan 0.6954
 269    129.6142 -34.8295   17.001  0.007 16.688  0.002 16.296  0.002 16.068  0.002 15.806  0.001    5638572983350303744 129.614096 -34.829474 16.2170 0.0007 16.4278 0.0043 15.8473 0.0046 -2.5740 0.0760 2.1510 0.0920 0.0855 0.0532 nan nan 0.9968
1087    129.6454 -34.8351   20.892  0.109 20.031  0.041 18.660  0.009 17.868  0.005 17.176  0.001    5638572742832119808 129.645384 -34.835146 18.1514 0.0015 18.9067 0.0212 17.2846 0.0108 -2.5670 0.1990 2.7550 0.2690 0.1653 0.1412 nan nan 0.8028
