id     raj2000     dej2000      U          SU       B          SB       V          SV       R          SR       I          SI       ub         sub      bv         sbv       vr        svr      ri        sri       j         h         ks         sj        sh        sks      magUCAC    mura     mude      smura   smude  sra1     sde1     sra2     sde2       id     raj2000G     dej2000G     Gmag     e_Gmag     BPmag     e_BPmag     RPmag     e_RPmag     pmRA     e_pmRA     pmDE     e_pmDE     Plx     e_Plx     Rv     e_Rv     P
    9  277.618347  -12.292728   13.7444    0.0268   13.6192    0.0265   13.1750    0.0231   12.9423    0.0239   12.6590    0.0252    0.1252    0.0377    0.4442    0.0352    0.2328    0.0332    0.2833    0.0347   12.1890   12.0530   12.0130    0.0200    0.0200    0.0200   13.2050    -1.30    -3.10     1.70     4.40  0.06108  0.06107  0.00736  0.00654    4153044327951535104 277.618363 -12.292750 13.1104 0.0016 13.2895 0.0029 12.7036 0.0018 -1.4820 0.0780 -2.7840 0.0700 0.6257 0.0530 nan nan 0.0000
   13  277.565582  -12.332785   14.3487    0.0269   14.0521    0.0266   13.4306    0.0232   13.0788    0.0239   12.6818    0.0252    0.2965    0.0378    0.6215    0.0352    0.3519    0.0333    0.3969    0.0347   12.0580   11.8410   11.7900    0.0200    0.0200    0.0200   13.3720   -12.50    -9.60     2.40    18.60  0.06668  0.06667  0.00736  0.00654    4153043778212228608 277.565598 -12.332781 13.2816 0.0004 13.6212 0.0025 12.7724 0.0030 -0.5850 0.0510 -4.7040 0.0490 0.6784 0.0385 nan nan 0.0000
   16  277.637329  -12.401210   14.3975    0.0269   14.2934    0.0266   13.4399    0.0232   12.8335    0.0239   12.1869    0.0252    0.1041    0.0378    0.8534    0.0353    0.6065    0.0333    0.6466    0.0347   11.1640   10.8750   10.6190    0.0300    0.0300    0.0300   13.1510    -4.20     2.20     1.80     3.80  0.03533  0.03529  0.00736  0.00654    4153040857617970176 277.637355 -12.401201 12.7595 0.0019 13.3626 0.0063 11.9947 0.0068 0.7050 0.0870 -0.2360 0.0790 0.4395 0.0626 nan nan 0.9177
   19  277.598938  -12.304060   14.8374    0.0270   14.4666    0.0267   13.4460    0.0232   12.8791    0.0239   12.2885    0.0252    0.3708    0.0380    1.0206    0.0354    0.5669    0.0334    0.5906    0.0348   11.4310   11.0310   10.9010    0.0300    0.0500    0.0400   13.2710     4.10    -9.30     3.70     2.30  0.06291  0.06288  0.00736  0.00654    4153043954315541504 277.598957 -12.304077 13.1261 0.0005 13.6968 0.0017 12.4152 0.0012 1.2000 0.0460 -13.3990 0.0440 1.5150 0.0305 nan nan 0.0000
   14  277.634155  -12.344419   14.4359    0.0269   14.2366    0.0266   13.4565    0.0233   12.9596    0.0239   12.4833    0.0251    0.1993    0.0378    0.7801    0.0354    0.4969    0.0334    0.4762    0.0346   11.6450   11.3100   11.1710    0.0300    0.0300    0.0300   13.2610   -10.40     1.30     2.70     5.00  0.04409  0.04406  0.00736  0.00654    4153042816123054080 277.634171 -12.344419 13.1636 0.0005 13.6379 0.0011 12.5232 0.0009 -2.5610 0.0540 3.1600 0.0500 1.2389 0.0314 nan nan 0.0000
   18  277.672882  -12.353885   14.6810    0.0271   14.3475    0.0266   13.4760    0.0232   12.9726    0.0239   12.4468    0.0250    0.3335    0.0380    0.8715    0.0353    0.5034    0.0333    0.5258    0.0346       NaN       NaN       NaN       NaN       NaN       NaN       NaN      NaN      NaN      NaN      NaN  0.03283  0.03278  0.00736  0.00654    4153042575629473792 277.672871 -12.353860 13.1858 0.0004 13.6968 0.0018 12.5166 0.0005 2.3240 0.0500 1.5600 0.0470 1.4067 0.0306 nan nan 0.0000
   15  277.621735  -12.336619   14.4727    0.0269   14.2201    0.0266   13.7371    0.0233   13.4580    0.0239   13.1385    0.0250    0.2526    0.0378    0.4830    0.0353    0.2791    0.0334    0.3195    0.0346   12.5200   12.3520   12.2300    0.0300    0.0300    0.0300   13.6680    -2.90     0.30     3.70     4.00  0.04915  0.04909  0.00736  0.00654    4153043576358374400 277.621750 -12.336607 13.6019 0.0003 13.8735 0.0022 13.1586 0.0024 -1.3760 0.0480 -1.6730 0.0460 0.5451 0.0316 nan nan 0.0000
   49  277.608154  -12.306621   17.9800    0.0359   15.9026    0.0275   13.7835    0.0236   12.5851    0.0243   11.3813    0.0254    2.0775    0.0452    2.1191    0.0363    1.1984    0.0339    1.2038    0.0352    9.5340    8.6650    8.3600    0.0200    0.0700    0.0500   13.1590    -6.60    -1.20     1.90     1.80  0.06022  0.05983  0.00736  0.00654    4153043881274938368 277.608175 -12.306639 12.6859 0.0007 14.0199 0.0042 11.5509 0.0031 0.5220 0.0860 -0.5650 0.0820 0.4423 0.0580 4.5100 0.4700 0.9918
   39  277.607422  -12.333693   17.0394    0.0294   15.6733    0.0272   13.8285    0.0237   12.7989    0.0242   11.7402    0.0253    1.3661    0.0400    1.8448    0.0360    1.0296    0.0338    1.0588    0.0350   10.0940    9.3500    9.0970    0.0300    0.0300    0.0300   13.3680   -11.40    -3.60     8.30     9.30  0.05397  0.05387  0.00736  0.00654    4153043645077863424 277.607438 -12.333690 12.9489 0.0006 14.0964 0.0026 11.8861 0.0011 0.6880 0.0790 -0.5450 0.0730 0.2640 0.0527 nan nan 0.9940
   21  277.564026  -12.299683   14.8888    0.0270   14.6773    0.0266   13.8924    0.0232   13.4084    0.0239   12.8255    0.0250    0.2115    0.0379    0.7849    0.0353    0.4840    0.0333    0.5829    0.0346   11.9910   11.6920   11.4640    0.0200    0.0200    0.0200   13.7800    -8.20    -1.80     4.90     4.90  0.07367  0.07364  0.00736  0.00654    4153046840533588480 277.564045 -12.299672 13.6344 0.0003 14.1190 0.0026 12.9648 0.0011 0.2040 0.0480 -0.3600 0.0430 0.5539 0.0320 nan nan 0.7220
